Timestamp,Label_ML,Cam_Face_Det,Cam_Pitch,Cam_Yaw,Cam_EAR,Gyro_Acc_X,Gyro_Acc_Y,Gyro_Acc_Z,Gyro_Rot_X,Gyro_Rot_Y,Gyro_Rot_Z,Audio_dB,Light_Lux,Temp_C,Humidity_Perc,Gas_Pin,Alcohol_Pin
17:42:42.670,VIGILE,0,0.0,0.0,0.0,-8.701,1.784,2.902,-0.135,0.08,-0.026,60.77,423.37,0.0,0.0,1,0
17:42:43.170,VIGILE,0,0.0,0.0,0.0,-8.844,1.798,2.851,-0.131,0.076,-0.02,68.92,423.47,0.0,0.0,1,0
17:42:43.670,VIGILE,0,0.0,0.0,0.0,-8.847,1.923,2.801,-0.135,0.057,-0.021,61.66,423.31,0.0,0.0,1,0
17:42:44.170,VIGILE,1,-173.53,79.38,0.384,-8.614,1.695,2.962,-0.13,0.072,-0.019,62.32,423.25,0.0,0.0,1,0
17:42:44.670,VIGILE,1,174.06,35.46,0.501,-8.875,1.827,2.981,-0.134,0.074,-0.018,62.86,422.92,0.0,0.0,1,0
17:42:45.170,VIGILE,1,-172.69,79.93,0.404,-8.729,1.884,2.88,-0.134,0.079,-0.028,64.14,422.76,0.0,0.0,1,0
17:42:45.670,VIGILE,1,-147.74,81.27,0.429,-8.519,1.841,2.847,-0.135,0.069,-0.022,70.33,422.6,0.0,0.0,1,0
17:42:46.170,VIGILE,1,-162.13,75.02,0.382,-8.918,1.829,2.986,-0.132,0.055,-0.02,69.51,422.64,0.0,0.0,1,0
17:42:46.670,VIGILE,0,0.0,0.0,0.0,-8.684,1.894,2.878,-0.134,0.079,-0.022,67.4,422.05,0.0,0.0,1,0
17:42:47.170,VIGILE,1,-162.07,85.53,0.242,-8.799,1.776,2.83,-0.132,0.061,-0.01,67.4,422.15,0.0,0.0,1,0
17:42:47.671,VIGILE,0,0.0,0.0,0.0,-8.928,1.958,2.916,-0.128,0.08,-0.021,59.96,421.99,0.0,0.0,1,0
17:42:48.171,VIGILE,0,0.0,0.0,0.0,-8.801,1.882,2.804,-0.128,0.064,-0.014,69.99,422.09,0.0,0.0,1,0
17:42:48.671,VIGILE,0,0.0,0.0,0.0,-8.866,1.867,3.007,-0.136,0.066,-0.022,70.25,421.87,0.0,0.0,1,0
17:42:49.171,VIGILE,0,0.0,0.0,0.0,-8.681,1.834,2.885,-0.139,0.06,-0.023,69.85,421.44,0.0,0.0,1,0
17:42:49.671,VIGILE,1,-170.33,33.45,0.265,-8.906,1.856,2.842,-0.127,0.066,-0.009,71.3,421.55,0.0,0.0,1,0
17:42:50.171,VIGILE,1,-168.01,31.47,0.291,-8.777,1.844,2.983,-0.135,0.091,-0.023,75.25,421.49,0.0,0.0,1,0
17:42:50.671,VIGILE,1,-167.88,-1.85,0.191,-8.818,1.784,2.794,-0.129,0.068,-0.007,80.27,420.89,0.0,0.0,1,0
17:42:51.171,VIGILE,1,-166.5,12.61,0.115,-8.947,1.865,3.043,-0.135,0.069,-0.017,81.59,420.83,0.0,0.0,1,0
17:42:51.671,VIGILE,1,-156.04,24.6,0.122,-8.902,1.796,3.041,-0.137,0.071,-0.019,81.54,420.67,0.0,0.0,1,0
17:42:52.171,VIGILE,1,-162.91,33.54,0.175,-8.842,1.822,2.885,-0.133,0.06,-0.018,81.33,420.34,0.0,0.0,1,0
17:42:52.671,VIGILE,1,-165.78,36.6,0.169,-8.452,1.846,3.005,-0.136,0.062,-0.03,79.84,420.18,0.0,0.0,1,0
17:42:53.171,VIGILE,1,-169.67,26.34,0.161,-8.844,1.834,2.892,-0.135,0.05,-0.013,78.94,420.12,0.0,0.0,1,0
17:42:53.671,VIGILE,1,-174.46,26.25,0.263,-8.653,1.846,3.036,-0.129,0.057,-0.02,79.6,420.06,0.0,0.0,1,0
17:42:54.171,VIGILE,1,-172.06,40.98,0.367,-8.511,1.958,3.048,-0.132,0.059,-0.019,79.0,419.74,0.0,0.0,1,0
17:42:54.671,VIGILE,1,-166.47,70.1,0.484,-8.588,1.877,3.139,-0.133,0.046,-0.013,79.14,419.68,0.0,0.0,1,0
17:42:55.171,VIGILE,0,0.0,0.0,0.0,-8.712,1.93,2.914,-0.134,0.079,-0.03,75.23,419.52,0.0,0.0,1,0
17:42:55.672,VIGILE,0,0.0,0.0,0.0,-8.878,1.796,2.768,-0.128,0.07,-0.01,78.02,419.29,0.0,0.0,1,0
17:42:56.172,VIGILE,0,0.0,0.0,0.0,-8.82,1.927,2.923,-0.134,0.081,-0.019,76.82,418.86,0.0,0.0,1,0
17:42:56.672,VIGILE,0,0.0,0.0,0.0,-9.038,1.867,2.907,-0.135,0.062,-0.007,77.51,418.8,0.0,0.0,1,0
17:42:57.172,VIGILE,0,0.0,0.0,0.0,-8.847,1.899,2.986,-0.133,0.057,-0.014,77.77,418.58,0.0,0.0,1,0
17:42:57.672,VIGILE,0,0.0,0.0,0.0,-8.868,1.796,2.895,-0.134,0.081,-0.024,75.06,418.58,0.0,0.0,1,0
17:42:58.172,VIGILE,0,0.0,0.0,0.0,-8.854,1.877,2.971,-0.133,0.059,-0.017,81.28,418.52,0.0,0.0,1,0
17:42:58.672,VIGILE,0,0.0,0.0,0.0,-8.657,1.911,2.95,-0.129,0.072,-0.018,79.74,418.2,0.0,0.0,1,0
17:42:59.172,VIGILE,0,0.0,0.0,0.0,-8.827,1.774,2.95,-0.138,0.063,-0.023,78.94,418.14,0.0,0.0,1,0
17:42:59.672,VIGILE,0,0.0,0.0,0.0,-8.614,1.93,2.94,-0.136,0.083,-0.016,82.61,417.97,0.0,0.0,1,0
17:43:00.172,VIGILE,0,0.0,0.0,0.0,-8.748,1.767,2.851,-0.131,0.064,-0.018,82.25,417.92,0.0,0.0,1,0
17:43:00.672,VIGILE,0,0.0,0.0,0.0,-8.916,1.961,2.883,-0.133,0.078,-0.019,78.3,417.59,0.0,0.0,1,0
17:43:01.172,VIGILE,0,0.0,0.0,0.0,-8.966,1.853,2.761,-0.13,0.079,-0.008,81.26,417.43,0.0,0.0,1,0
17:43:01.672,VIGILE,0,0.0,0.0,0.0,-8.861,1.899,2.926,-0.134,0.07,-0.017,84.29,417.37,0.0,0.0,1,0
17:43:02.172,VIGILE,0,0.0,0.0,0.0,-9.124,1.765,2.696,-0.13,0.084,-0.019,87.03,417.04,0.0,0.0,1,0
17:43:02.672,VIGILE,0,0.0,0.0,0.0,-9.254,1.712,2.698,-0.134,0.068,-0.016,86.81,416.98,0.0,0.0,1,0
17:43:03.172,VIGILE,0,0.0,0.0,0.0,-8.978,1.757,2.804,-0.139,0.094,-0.034,85.1,416.66,0.0,0.0,1,0
17:43:03.672,VIGILE,0,0.0,0.0,0.0,-8.859,1.889,2.983,-0.136,0.045,-0.01,85.5,416.76,0.0,0.0,1,0
17:43:04.173,VIGILE,0,0.0,0.0,0.0,-8.693,1.834,2.83,-0.129,0.071,-0.019,86.4,416.43,0.0,0.0,1,0
17:43:04.673,VIGILE,0,0.0,0.0,0.0,-8.95,1.827,2.919,-0.136,0.062,-0.023,81.86,415.94,0.0,0.0,1,0
17:43:05.173,VIGILE,0,0.0,0.0,0.0,-9.297,1.793,2.737,-0.132,0.08,-0.018,85.13,416.21,0.0,0.0,1,0
17:43:05.673,VIGILE,0,0.0,0.0,0.0,-8.641,1.786,2.952,-0.138,0.07,-0.023,75.59,415.89,0.0,0.0,1,0
17:43:06.173,VIGILE,0,0.0,0.0,0.0,-9.045,1.961,3.053,-0.132,0.063,-0.01,64.11,415.66,0.0,0.0,1,0
17:43:06.673,VIGILE,0,0.0,0.0,0.0,-8.626,1.81,2.813,-0.137,0.066,-0.019,68.52,415.66,0.0,0.0,1,0
17:43:07.173,VIGILE,0,0.0,0.0,0.0,-8.993,1.92,3.057,-0.132,0.058,-0.014,63.63,415.44,0.0,0.0,1,0
17:43:07.673,VIGILE,0,0.0,0.0,0.0,-8.856,1.891,2.902,-0.137,0.067,-0.022,81.34,415.12,0.0,0.0,1,0
17:43:08.173,VIGILE,0,0.0,0.0,0.0,-8.914,1.726,2.885,-0.129,0.065,-0.011,69.66,415.06,0.0,0.0,1,0
17:43:08.673,VIGILE,0,0.0,0.0,0.0,-9.045,1.875,2.928,-0.133,0.053,-0.013,68.27,414.73,0.0,0.0,1,0
17:43:09.173,VIGILE,0,0.0,0.0,0.0,-8.705,1.841,2.823,-0.134,0.075,-0.026,68.33,414.4,0.0,0.0,1,0
17:43:09.673,VIGILE,0,0.0,0.0,0.0,-8.851,1.858,2.969,-0.136,0.064,-0.017,69.79,414.35,0.0,0.0,1,0
17:43:10.173,VIGILE,0,0.0,0.0,0.0,-8.918,1.903,2.902,-0.132,0.067,-0.012,69.08,414.45,0.0,0.0,1,0
17:43:10.673,VIGILE,0,0.0,0.0,0.0,-8.588,1.841,2.895,-0.135,0.078,-0.033,68.12,413.96,0.0,0.0,1,0
17:43:11.173,VIGILE,0,0.0,0.0,0.0,-8.818,1.812,2.842,-0.134,0.055,-0.008,73.92,413.9,0.0,0.0,1,0
17:43:11.674,VIGILE,1,175.61,28.02,0.372,-8.59,1.767,2.835,-0.133,0.075,-0.029,67.27,413.41,0.0,0.0,1,0
17:43:12.174,VIGILE,1,178.62,33.63,0.439,-8.878,1.875,2.933,-0.132,0.063,-0.018,68.51,413.09,0.0,0.0,1,0
17:43:12.674,VIGILE,0,0.0,0.0,0.0,-8.868,1.851,2.842,-0.132,0.066,-0.014,68.04,413.19,0.0,0.0,1,0
