Timestamp,Label_ML,Cam_Face_Det,Cam_Pitch,Cam_Yaw,Cam_EAR,Gyro_Acc_X,Gyro_Acc_Y,Gyro_Acc_Z,Gyro_Rot_X,Gyro_Rot_Y,Gyro_Rot_Z,Audio_dB,Light_Lux,Temp_C,Humidity_Perc,Gas_Pin,Alcohol_Pin
17:26:04.097,VIGILE,1,-173.28,-18.13,0.29,-0.929,3.498,-9.345,-0.116,0.061,-0.015,74.07,0.0,22.1,43,1,1
17:26:04.597,VIGILE,1,-175.99,-6.58,0.259,-1.082,3.359,-8.959,-0.144,0.078,-0.019,76.08,328.94,22.1,43,1,1
17:26:05.097,VIGILE,1,-177.61,-15.42,0.289,-1.061,3.328,-9.031,-0.135,0.066,-0.021,76.04,329.1,22.1,43,1,1
17:26:05.597,VIGILE,1,-176.1,-16.38,0.264,-1.008,3.402,-9.244,-0.146,0.069,-0.019,78.29,329.16,22.1,43,1,1
17:26:06.098,VIGILE,1,-175.27,-19.66,0.282,-0.414,3.364,-8.882,-0.184,0.091,-0.022,73.23,329.38,22.1,43,1,1
17:26:06.598,VIGILE,1,-179.26,-17.63,0.28,-0.986,3.519,-8.947,-0.141,0.057,-0.02,79.37,302.64,22.1,43,1,1
17:26:07.098,VIGILE,1,-177.26,-25.61,0.29,-1.137,3.448,-9.565,-0.126,0.07,-0.007,77.5,309.76,22.1,43,1,1
17:26:07.598,VIGILE,1,-176.57,-25.31,0.281,-0.601,3.014,-9.007,-0.137,0.066,-0.001,77.66,332.46,22.1,43,1,1
17:26:08.098,VIGILE,0,0.0,0.0,0.0,-0.725,2.751,-9.062,-0.136,0.07,-0.043,74.31,331.41,22.1,43,1,1
17:26:08.598,VIGILE,1,-176.63,-37.19,0.355,-0.522,2.796,-9.74,-0.167,0.124,-0.138,76.89,330.69,22.1,43,1,1
17:26:09.098,VIGILE,1,-176.33,-39.31,0.365,-0.697,2.294,-9.39,-0.175,0.152,-0.229,76.74,329.15,22.1,43,1,1
17:26:09.598,VIGILE,1,-178.09,-35.66,0.347,-1.094,3.206,-9.333,-0.201,0.152,-0.352,79.0,326.94,22.1,43,1,1
17:26:10.098,VIGILE,1,-176.32,-25.62,0.269,-2.073,2.966,-9.333,-0.186,0.196,-0.368,74.0,325.83,22.1,43,1,1
17:26:10.598,VIGILE,1,-176.45,-30.54,0.291,-1.499,2.813,-9.598,-0.174,0.183,-0.346,82.27,326.45,22.1,43,1,1
17:26:11.098,VIGILE,1,-175.86,-38.88,0.368,-1.738,2.816,-9.45,-0.165,0.192,-0.314,77.48,328.74,22.1,43,1,1
17:26:11.599,VIGILE,1,168.03,-53.19,0.363,-1.082,3.062,-9.167,-0.18,0.175,-0.259,72.62,331.15,22.1,43,1,1
17:26:12.099,VIGILE,1,-174.57,-45.77,0.345,-1.013,3.428,-8.722,-0.157,0.131,-0.144,76.65,335.04,22.1,43,1,1
17:26:12.599,VIGILE,1,177.78,-72.91,0.551,-1.717,4.108,-9.124,-0.111,0.064,-0.059,74.21,336.55,22.1,43,1,1
17:26:13.099,VIGILE,1,-177.41,-70.76,0.476,-1.204,3.948,-9.076,-0.108,0.047,0.025,77.43,337.77,22.1,43,1,1
17:26:13.599,VIGILE,1,-175.56,-29.12,0.305,-0.558,3.029,-9.266,-0.074,0.047,0.073,77.75,338.12,22.1,43,1,1
17:26:14.099,VIGILE,1,174.94,57.27,0.356,0.259,3.139,-9.177,-0.123,0.029,0.147,78.72,338.01,22.0,43,1,1
17:26:14.599,VIGILE,1,-176.15,44.15,0.403,0.558,3.431,-9.009,-0.131,-0.018,0.264,79.44,337.37,22.0,43,1,1
17:26:15.099,VIGILE,1,-178.54,47.43,0.418,-0.182,3.716,-8.957,-0.058,-0.054,0.343,79.83,335.04,22.0,43,1,1
17:26:15.599,VIGILE,1,-175.42,40.66,0.34,-0.876,3.297,-9.117,-0.107,-0.065,0.373,70.06,332.27,22.0,43,1,1
17:26:16.100,VIGILE,1,-175.78,42.15,0.356,-0.936,4.257,-8.997,-0.056,-0.069,0.334,72.71,331.53,22.0,43,1,1
17:26:16.600,VIGILE,1,-174.92,37.74,0.309,-0.685,3.302,-8.835,-0.063,-0.039,0.274,71.53,330.3,22.0,43,1,1
17:26:17.100,VIGILE,1,177.93,28.75,0.275,0.189,3.199,-8.715,-0.172,-0.003,0.238,67.23,329.76,22.0,43,1,1
17:26:17.600,VIGILE,1,-179.47,24.87,0.283,0.84,3.819,-9.445,-0.124,-0.004,0.137,80.14,331.19,22.0,43,1,1
17:26:18.100,VIGILE,1,-176.55,17.12,0.288,0.591,4.096,-9.134,-0.144,0.007,0.128,79.63,331.73,22.0,43,1,1
