Timestamp,Label_ML,Cam_Face_Det,Cam_Pitch,Cam_Yaw,Cam_EAR,Gyro_Acc_X,Gyro_Acc_Y,Gyro_Acc_Z,Gyro_Rot_X,Gyro_Rot_Y,Gyro_Rot_Z,Audio_dB,Light_Lux,Temp_C,Humidity_Perc,Gas_Pin,Alcohol_Pin
17:45:29.441,VIGILE,1,-147.28,83.6,0.465,-8.356,1.279,3.268,-0.156,0.085,-0.02,77.84,573.34,0.0,0.0,1,0
17:45:29.941,VIGILE,1,-127.87,85.16,0.741,-8.55,2.011,3.309,-0.159,0.052,0.031,69.61,571.62,0.0,0.0,1,0
17:45:30.442,VIGILE,1,-113.08,84.44,1.086,-8.147,1.585,3.146,-0.149,0.094,-0.022,69.19,570.4,0.0,0.0,1,0
17:45:30.942,VIGILE,1,-138.19,83.31,0.757,-8.708,1.968,3.45,-0.143,0.052,0.007,72.71,569.86,0.0,0.0,1,0
17:45:31.442,VIGILE,1,-152.15,82.41,0.629,-8.538,2.265,3.761,-0.148,0.049,0.005,73.68,568.81,0.0,0.0,1,0
17:45:31.942,VIGILE,1,-131.11,82.99,0.65,-9.299,1.808,3.294,-0.135,0.096,-0.034,78.67,567.21,0.0,0.0,1,0
17:45:32.442,VIGILE,0,0.0,0.0,0.0,-8.432,1.676,3.199,-0.134,0.069,-0.019,66.48,567.82,0.0,0.0,1,0
17:45:32.942,VIGILE,1,178.76,78.83,0.455,-8.993,1.635,3.048,-0.134,0.068,-0.021,64.2,567.6,0.0,0.0,1,0
17:45:33.442,VIGILE,1,-150.58,84.5,0.631,-8.662,1.628,3.002,-0.132,0.08,-0.011,0.0,567.32,0.0,0.0,1,0
