Timestamp,Label_ML,Cam_Face_Det,Cam_Pitch,Cam_Yaw,Cam_EAR,Gyro_Acc_X,Gyro_Acc_Y,Gyro_Acc_Z,Gyro_Rot_X,Gyro_Rot_Y,Gyro_Rot_Z,Audio_dB,Light_Lux,Temp_C,Humidity_Perc,Gas_Pin,Alcohol_Pin
11:15:11.670,VIGILE,1,164.74,14.2,0.189,-0.735,3.01,-9.452,-0.097,0.052,0.036,0.0,0.0,30.4,21,1,1
11:15:12.170,VIGILE,1,171.56,0.13,0.15,0.211,2.452,-9.62,-0.13,0.083,-0.03,78.63,0.0,30.4,21,1,1
11:15:12.670,VIGILE,1,171.23,-3.74,0.11,0.031,2.552,-9.313,-0.089,0.095,-0.071,83.46,0.0,30.4,21,1,1
11:15:13.170,VIGILE,1,-172.88,18.67,0.197,-0.776,3.479,-9.335,-0.197,0.071,-0.092,84.83,0.0,30.4,21,1,1
11:15:13.671,VIGILE,1,176.28,39.14,0.216,-4.073,4.065,-7.752,-0.246,0.099,0.018,88.79,0.0,30.4,21,1,1
11:15:14.171,VIGILE,1,175.18,-38.81,0.295,-1.018,3.177,-8.392,-0.122,0.11,0.019,81.57,0.0,30.4,21,1,1
11:15:14.671,VIGILE,1,170.25,10.6,0.174,-0.855,3.529,-8.942,-0.137,0.071,0.01,84.4,0.0,30.4,21,1,1
11:15:15.171,VIGILE,1,-179.18,28.09,0.219,-1.408,3.594,-8.957,-0.111,0.052,0.053,85.66,0.0,30.4,21,1,1
11:15:15.671,VIGILE,1,177.01,-36.22,0.349,0.01,3.462,-8.906,-0.088,0.017,0.07,80.39,0.0,30.4,21,1,1
11:15:16.171,VIGILE,0,0.0,0.0,0.0,-1.109,3.699,-9.079,-0.036,-0.03,0.021,84.32,0.0,30.4,21,1,1
11:15:16.671,VIGILE,1,176.44,-21.14,0.223,-1.188,3.124,-8.782,-0.109,0.034,0.024,77.22,0.0,30.4,21,1,1
11:15:17.171,VIGILE,1,166.11,-14.58,0.054,-1.099,3.9,-8.981,-0.155,0.037,0.013,76.64,0.0,30.4,21,1,1
11:15:17.672,VIGILE,0,0.0,0.0,0.0,-0.96,4.293,-8.959,-0.142,0.037,0.038,78.73,0.0,30.4,21,1,1
11:15:18.172,VIGILE,1,173.14,-71.3,0.685,-1.41,2.749,-8.882,-0.109,0.049,0.049,74.38,0.0,30.4,21,1,1
11:15:18.672,VIGILE,1,-177.07,-67.78,0.481,-0.055,3.12,-8.629,-0.136,0.091,0.07,86.18,0.0,30.4,21,1,1
11:15:19.172,VIGILE,1,-167.86,-66.39,0.45,-0.417,3.199,-9.151,-0.145,0.062,0.074,86.42,0.0,30.5,21,1,1
11:15:19.672,VIGILE,0,0.0,0.0,0.0,1.137,3.414,-8.892,-0.047,0.001,0.159,87.96,0.0,30.5,21,1,1
11:15:20.172,VIGILE,1,-179.67,38.66,0.357,-6.474,5.076,-7.408,2.149,-1.044,0.162,89.07,0.0,30.5,21,1,1
11:15:20.672,VIGILE,1,178.78,34.51,0.188,-0.666,3.558,-8.332,-0.088,0.015,0.164,88.91,0.0,30.5,21,1,1
11:15:21.172,VIGILE,1,-173.34,49.55,0.311,-0.881,3.534,-9.12,-0.142,0.019,0.138,78.86,0.0,30.5,21,1,1
11:15:21.672,VIGILE,1,-179.52,53.08,0.273,-1.331,3.136,-9.062,-0.131,0.0,0.14,79.41,0.0,30.5,21,1,1
11:15:22.172,VIGILE,1,-177.89,33.09,0.347,0.642,3.065,-9.72,-0.098,0.016,0.157,82.03,0.0,30.5,21,1,1
11:15:22.672,VIGILE,1,178.44,30.34,0.255,-0.113,4.187,-8.373,-0.056,-0.073,0.202,80.68,0.0,30.5,21,1,1
11:15:23.172,VIGILE,1,-174.64,43.2,0.275,0.725,3.838,-8.6,0.035,0.032,0.272,82.28,0.0,30.5,21,1,1
11:15:23.672,VIGILE,1,-179.64,19.32,0.269,0.45,1.829,-8.622,-0.051,-0.023,0.168,82.05,0.0,30.5,21,1,1
11:15:24.172,VIGILE,1,-177.04,29.42,0.256,-0.347,2.626,-9.067,-0.16,-0.027,0.004,80.38,0.0,30.5,21,1,1
11:15:24.672,VIGILE,1,178.27,25.41,0.257,0.491,2.67,-8.03,-0.153,-0.063,-0.024,83.81,0.0,30.5,21,1,1
11:15:25.172,VIGILE,1,-179.04,16.83,0.234,-1.525,3.752,-8.504,-0.076,0.153,0.036,88.38,0.0,30.5,21,1,1
11:15:25.673,VIGILE,1,171.16,18.71,0.195,-1.252,3.27,-9.151,-0.117,0.042,0.023,84.64,0.0,30.5,21,1,1
11:15:26.173,VIGILE,1,179.57,20.67,0.278,-0.637,3.124,-9.206,-0.123,0.067,0.014,86.6,0.0,30.5,21,1,1
11:15:26.673,VIGILE,1,176.2,16.31,0.237,0.852,2.308,-9.783,-0.131,0.087,0.006,80.85,0.0,30.5,21,1,1
11:15:27.173,VIGILE,1,-179.07,17.66,0.259,0.429,2.478,-9.182,-0.124,0.027,-0.018,78.95,0.0,30.5,21,1,1
11:15:27.673,VIGILE,1,168.42,11.56,0.202,0.146,3.129,-9.249,-0.216,0.1,-0.044,76.06,0.0,30.5,21,1,1
11:15:28.173,VIGILE,1,169.76,12.6,0.204,-0.989,3.414,-9.273,-0.129,0.07,-0.029,78.29,0.0,30.5,21,1,1
11:15:28.673,VIGILE,1,171.73,8.45,0.195,-1.089,3.342,-9.469,-0.115,0.063,-0.034,80.14,0.0,30.5,21,1,1
11:15:29.173,VIGILE,1,168.98,7.12,0.191,-1.276,3.117,-8.739,-0.169,0.1,-0.028,83.24,0.0,30.5,21,1,1
11:15:29.673,VIGILE,1,169.76,13.35,0.199,-1.286,3.108,-8.657,-0.109,0.05,-0.001,78.64,0.0,30.5,21,1,1
11:15:30.173,VIGILE,1,171.99,10.98,0.205,-1.583,3.278,-8.777,-0.079,0.033,0.054,81.09,0.0,30.5,21,1,1
11:15:30.673,VIGILE,1,166.43,9.79,0.196,-0.912,3.474,-9.048,-0.129,0.062,0.024,81.9,0.0,30.5,21,1,1
11:15:31.173,VIGILE,1,170.17,8.4,0.224,-1.168,3.508,-9.088,-0.066,0.007,0.048,79.31,0.0,30.5,21,1,1
11:15:31.673,VIGILE,1,173.84,7.88,0.226,-1.116,3.163,-9.459,-0.115,0.043,0.049,71.43,0.0,30.5,21,1,1
11:15:32.173,VIGILE,1,170.57,3.27,0.195,-1.374,2.327,-8.772,-0.137,0.067,0.006,76.52,0.0,30.5,21,1,1
11:15:32.674,VIGILE,1,169.44,-3.85,0.224,-1.032,-0.089,-9.196,-0.374,0.059,-0.068,78.99,0.0,30.5,21,1,1
