Timestamp,Label_ML,Cam_Face_Det,Cam_Pitch,Cam_Yaw,Cam_EAR,Gyro_Acc_X,Gyro_Acc_Y,Gyro_Acc_Z,Gyro_Rot_X,Gyro_Rot_Y,Gyro_Rot_Z,Audio_dB,Light_Lux,Temp_C,Humidity_Perc,Gas_Pin,Alcohol_Pin
17:41:12.038,VIGILE,1,-146.44,73.17,0.319,-8.823,1.836,2.923,-0.132,0.067,-0.016,54.98,451.35,0.0,0.0,1,0
17:41:12.538,VIGILE,1,-149.36,72.23,0.346,-8.844,1.836,2.885,-0.133,0.068,-0.016,66.9,451.29,0.0,0.0,1,0
17:41:13.038,VIGILE,1,-146.33,71.29,0.366,-8.835,1.834,2.883,-0.138,0.07,-0.021,64.34,450.96,0.0,0.0,1,0
17:41:13.538,VIGILE,1,-146.11,71.22,0.333,-8.83,1.863,2.863,-0.135,0.065,-0.021,66.84,450.63,0.0,0.0,1,0
17:41:14.038,VIGILE,1,-144.85,70.8,0.333,-8.792,1.863,2.818,-0.133,0.063,-0.019,64.0,450.9,0.0,0.0,1,0
17:41:14.538,VIGILE,1,-152.82,73.85,0.359,-8.815,1.848,2.837,-0.136,0.069,-0.019,65.11,450.41,0.0,0.0,1,0
17:41:15.038,VIGILE,1,-151.59,69.74,0.317,-8.83,1.829,2.883,-0.132,0.067,-0.015,58.3,450.25,0.0,0.0,1,0
17:41:15.538,VIGILE,1,-154.01,68.39,0.288,-8.777,1.824,2.835,-0.138,0.066,-0.013,65.01,450.35,0.0,0.0,1,0
17:41:16.038,VIGILE,1,-156.76,67.57,0.271,-8.792,1.889,2.907,-0.132,0.063,-0.016,57.58,450.35,0.0,0.0,1,0
17:41:16.538,VIGILE,1,-154.5,66.37,0.234,-8.835,1.86,2.919,-0.135,0.066,-0.017,64.88,449.86,0.0,0.0,1,0
17:41:17.038,VIGILE,1,-155.66,66.61,0.253,-8.82,1.815,2.902,-0.135,0.069,-0.019,64.29,449.7,0.0,0.0,1,0
17:41:17.538,VIGILE,1,-170.69,29.19,0.23,-8.811,1.863,2.878,-0.134,0.069,-0.018,66.21,449.37,0.0,0.0,1,0
17:41:18.039,VIGILE,1,-169.9,29.13,0.243,-8.794,1.853,2.851,-0.132,0.063,-0.019,68.22,449.64,0.0,0.0,1,0
17:41:18.539,VIGILE,1,-155.59,64.47,0.222,-8.856,1.81,2.878,-0.135,0.071,-0.016,60.9,449.15,0.0,0.0,1,0
17:41:19.039,VIGILE,1,-154.91,65.47,0.235,-8.803,1.824,2.878,-0.135,0.065,-0.018,62.11,449.26,0.0,0.0,1,0
17:41:19.539,VIGILE,1,-154.34,67.33,0.274,-8.825,1.867,2.895,-0.137,0.064,-0.024,62.42,448.93,0.0,0.0,1,0
17:41:20.039,VIGILE,1,-170.59,28.36,0.214,-8.799,1.793,2.921,-0.133,0.067,-0.018,59.94,448.93,0.0,0.0,1,0
17:41:20.539,VIGILE,1,-165.78,23.06,0.15,-8.832,1.82,2.883,-0.132,0.068,-0.018,65.39,448.6,0.0,0.0,1,0
17:41:21.039,VIGILE,1,-168.67,28.54,0.185,-8.796,1.846,2.854,-0.127,0.064,-0.02,62.95,448.28,0.0,0.0,1,0
17:41:21.539,VIGILE,1,-168.06,30.5,0.176,-8.808,1.848,2.933,-0.129,0.064,-0.017,54.8,448.38,0.0,0.0,1,0
17:41:22.039,VIGILE,0,0.0,0.0,0.0,-8.777,1.853,2.863,-0.132,0.063,-0.017,66.27,447.62,0.0,0.0,1,0
17:41:22.539,VIGILE,1,178.24,24.55,0.119,-8.78,1.856,2.825,-0.133,0.067,-0.02,63.55,447.89,0.0,0.0,1,0
17:41:23.039,VIGILE,0,0.0,0.0,0.0,-8.787,1.841,2.863,-0.136,0.067,-0.016,67.49,448.0,0.0,0.0,1,0
17:41:23.539,VIGILE,1,-170.87,34.26,0.217,-8.82,1.856,2.964,-0.139,0.067,-0.018,53.83,447.51,0.0,0.0,1,0
17:41:24.039,VIGILE,1,-164.81,34.98,0.337,-8.873,1.798,2.868,-0.132,0.065,-0.022,61.04,447.61,0.0,0.0,1,0
17:41:24.539,VIGILE,1,-135.11,58.68,0.384,-8.835,1.851,2.899,-0.129,0.073,-0.017,68.96,447.29,0.0,0.0,1,0
17:41:25.039,VIGILE,1,-146.7,56.74,0.209,-8.806,1.853,2.868,-0.133,0.065,-0.014,58.59,447.23,0.0,0.0,1,0
17:41:25.540,VIGILE,1,-168.69,32.11,0.204,-8.811,1.839,2.868,-0.134,0.064,-0.019,62.42,447.12,0.0,0.0,1,0
17:41:26.040,VIGILE,1,-169.48,31.49,0.202,-8.83,1.839,2.887,-0.133,0.067,-0.018,61.34,446.9,0.0,0.0,1,0
17:41:26.540,VIGILE,1,-168.48,31.09,0.165,-8.835,1.863,2.89,-0.133,0.07,-0.017,64.45,446.57,0.0,0.0,1,0
17:41:27.041,VIGILE,1,-156.61,55.58,0.201,-8.863,1.836,2.897,-0.133,0.069,-0.017,59.8,446.41,0.0,0.0,1,0
17:41:27.541,VIGILE,1,-158.66,53.89,0.197,-8.82,1.879,2.899,-0.132,0.065,-0.015,62.89,446.52,0.0,0.0,1,0
17:41:28.041,VIGILE,1,-169.81,31.23,0.188,-8.83,1.844,2.895,-0.134,0.068,-0.017,62.19,446.19,0.0,0.0,1,0
17:41:28.541,VIGILE,1,-169.26,29.85,0.158,-8.787,1.841,2.875,-0.135,0.066,-0.017,67.28,446.03,0.0,0.0,1,0
17:41:29.041,VIGILE,1,-158.93,51.65,0.167,-8.863,1.851,2.928,-0.128,0.064,-0.015,55.81,445.97,0.0,0.0,1,0
17:41:29.541,VIGILE,1,-167.57,29.86,0.174,-8.78,1.829,2.851,-0.136,0.066,-0.016,61.69,445.8,0.0,0.0,1,0
17:41:30.041,VIGILE,1,-168.26,27.88,0.182,-8.813,1.848,2.895,-0.133,0.065,-0.017,57.46,445.64,0.0,0.0,1,0
17:41:30.541,VIGILE,1,-166.2,52.17,0.248,-8.837,1.812,2.89,-0.132,0.066,-0.019,52.77,445.48,0.0,0.0,1,0
17:41:31.041,VIGILE,1,-172.89,30.94,0.208,-8.885,1.848,2.904,-0.135,0.067,-0.015,70.53,445.58,0.0,0.0,1,0
17:41:31.541,VIGILE,1,-152.29,69.78,0.366,-8.775,1.827,2.899,-0.131,0.068,-0.019,61.32,445.26,0.0,0.0,1,0
17:41:32.041,VIGILE,1,-148.34,64.97,0.315,-8.782,1.834,2.878,-0.13,0.07,-0.021,67.61,444.93,0.0,0.0,1,0
17:41:32.541,VIGILE,1,-141.8,66.16,0.47,-8.815,1.848,2.909,-0.131,0.067,-0.021,53.33,445.03,0.0,0.0,1,0
17:41:33.041,VIGILE,1,-144.68,65.27,0.418,-8.815,1.805,2.883,-0.135,0.066,-0.015,51.58,444.87,0.0,0.0,1,0
17:41:33.541,VIGILE,1,-170.93,40.39,0.337,-8.794,1.808,2.847,-0.136,0.07,-0.019,51.02,444.54,0.0,0.0,1,0
17:41:34.041,VIGILE,1,-155.21,68.01,0.495,-8.808,1.846,2.916,-0.133,0.064,-0.019,0.0,444.38,0.0,0.0,1,0
17:41:34.542,VIGILE,1,-174.86,37.88,0.393,-8.827,1.827,2.909,-0.132,0.067,-0.017,0.0,444.32,0.0,0.0,1,0
17:41:35.042,VIGILE,1,-166.39,67.94,0.552,-8.813,1.846,2.938,-0.132,0.068,-0.015,0.0,444.0,0.0,0.0,1,0
17:41:35.542,VIGILE,1,-172.6,50.75,0.286,-8.849,1.848,2.861,-0.14,0.069,-0.017,0.0,443.83,0.0,0.0,1,0
17:41:36.042,VIGILE,1,-171.92,32.54,0.328,-8.825,1.851,2.907,-0.132,0.064,-0.017,0.0,443.67,0.0,0.0,1,0
17:41:36.542,VIGILE,1,-174.08,23.07,0.239,-8.803,1.844,2.863,-0.136,0.066,-0.023,0.0,443.61,0.0,0.0,1,0
17:41:37.042,VIGILE,1,-174.66,31.98,0.152,-8.842,1.856,2.885,-0.132,0.069,-0.014,0.0,443.28,0.0,0.0,1,0
17:41:37.542,VIGILE,1,-164.69,30.16,0.188,-8.835,1.82,2.851,-0.136,0.064,-0.014,0.0,443.28,0.0,0.0,1,0
17:41:38.042,VIGILE,1,-162.6,29.95,0.183,-8.799,1.841,2.832,-0.131,0.066,-0.014,0.0,443.39,0.0,0.0,1,0
17:41:38.542,VIGILE,1,-162.52,33.04,0.204,-8.837,1.817,2.911,-0.133,0.066,-0.018,0.0,443.06,0.0,0.0,1,0
17:41:39.042,VIGILE,1,-141.15,61.01,0.292,-8.813,1.867,2.837,-0.132,0.066,-0.018,0.0,443.0,0.0,0.0,1,0
17:41:39.542,VIGILE,1,-164.33,35.38,0.275,-8.796,1.82,2.871,-0.132,0.065,-0.017,0.0,443.0,0.0,0.0,1,0
17:41:40.042,VIGILE,1,-165.25,34.48,0.203,-8.823,1.829,2.909,-0.133,0.071,-0.022,0.0,442.25,0.0,0.0,1,0
