Timestamp,Label_ML,Cam_Face_Det,Cam_Pitch,Cam_Yaw,Cam_EAR,Gyro_Acc_X,Gyro_Acc_Y,Gyro_Acc_Z,Gyro_Rot_X,Gyro_Rot_Y,Gyro_Rot_Z,Audio_dB,Light_Lux,Temp_C,Humidity_Perc,Gas_Pin,Alcohol_Pin
17:14:36.251,VIGILE,1,170.68,-40.96,0.245,-0.977,3.043,-9.246,-0.149,0.089,-0.026,79.94,0.0,21.8,36,1,1
17:14:36.751,VIGILE,0,0.0,0.0,0.0,-0.244,3.029,-9.51,-0.094,0.07,0.003,83.95,2712.81,21.8,36,1,1
17:14:37.251,VIGILE,1,-174.67,5.92,0.299,0.694,2.67,-9.469,-0.115,0.054,0.056,78.82,2709.42,21.8,36,1,1
17:14:37.751,VIGILE,1,-175.76,30.65,0.326,0.867,2.885,-9.292,-0.089,0.034,0.155,80.66,2694.84,21.8,36,1,1
17:14:38.251,VIGILE,1,-176.67,40.94,0.39,0.668,3.649,-8.969,-0.096,-0.012,0.282,81.7,2666.47,21.8,36,1,1
17:14:38.752,VIGILE,1,179.6,39.36,0.359,-0.18,4.348,-8.485,-0.028,-0.059,0.373,76.33,2641.82,21.8,36,1,1
17:14:39.252,VIGILE,1,167.21,44.27,0.341,-0.769,4.441,-8.722,-0.074,-0.074,0.331,82.49,2579.11,21.8,36,1,1
17:14:39.752,VIGILE,1,168.63,39.44,0.324,-1.645,3.847,-9.278,-0.137,-0.068,0.307,82.65,2554.07,21.8,36,1,1
17:14:40.252,VIGILE,1,-175.85,30.11,0.332,0.225,3.227,-9.428,-0.06,-0.03,0.311,77.38,2506.35,21.8,36,1,1
17:14:40.752,VIGILE,1,-178.02,28.87,0.312,-0.28,2.636,-10.23,-0.177,-0.018,0.275,81.9,2453.31,21.8,36,1,1
17:14:41.252,VIGILE,1,-177.86,27.91,0.296,-1.013,3.383,-8.655,-0.073,-0.075,0.233,89.87,2408.41,21.8,36,1,1
17:14:41.752,VIGILE,1,-178.0,23.9,0.296,-1.216,5.061,-8.394,0.031,-0.104,0.225,82.74,2397.99,21.8,36,1,1
17:14:42.252,VIGILE,1,178.89,9.25,0.281,-1.183,3.505,-8.847,-0.06,-0.028,0.197,71.27,2368.52,21.8,36,1,1
17:14:42.752,VIGILE,1,176.15,12.23,0.276,-1.561,2.933,-9.22,-0.083,0.038,0.05,79.8,2325.63,21.8,36,1,1
17:14:43.252,VIGILE,1,175.6,9.85,0.272,-2.514,1.307,-9.471,-0.146,0.1,-0.173,77.87,2253.03,21.8,36,1,1
17:14:43.752,VIGILE,1,174.44,12.47,0.28,-2.866,3.117,-8.847,-0.15,0.096,-0.143,80.37,2250.77,21.8,36,1,1
17:14:44.253,VIGILE,1,178.16,5.92,0.268,-2.804,3.649,-8.878,-0.153,0.086,-0.068,83.31,2255.65,21.8,36,1,1
17:14:44.753,VIGILE,1,178.16,-1.21,0.266,-2.26,3.012,-9.227,-0.121,0.074,-0.05,77.63,2256.14,21.8,36,1,1
17:14:45.253,VIGILE,1,179.98,32.59,0.257,-3.093,3.407,-8.703,-0.125,0.068,-0.044,80.1,2222.55,21.8,36,1,1
17:14:45.753,VIGILE,1,-177.79,-0.27,0.268,-3.002,3.529,-8.806,-0.113,0.074,-0.027,79.29,2231.58,21.8,36,1,1
17:14:46.253,VIGILE,1,-176.38,26.77,0.223,-1.276,2.413,-9.041,-0.113,0.076,-0.009,84.27,2265.28,21.8,36,1,1
17:14:46.753,DISTRAZIONE,1,-171.35,33.46,0.121,-1.386,2.634,-9.12,-0.13,0.072,-0.019,82.51,2272.07,21.8,36,1,1
17:14:47.253,DISTRAZIONE,0,0.0,0.0,0.0,-1.506,2.682,-9.187,-0.119,0.06,-0.013,82.28,2272.29,21.8,36,1,1
